split,file_name,relative_path,label,attack_id,speaker_id,system_id
train,LA_T_5431096.flac,train/LA_T_5431096.flac,spoof,A03,LA_0085,-
train,LA_T_4513430.flac,train/LA_T_4513430.flac,bonafide,-,LA_0081,-
train,LA_T_6380718.flac,train/LA_T_6380718.flac,spoof,A04,LA_0091,-
train,LA_T_7239632.flac,train/LA_T_7239632.flac,bonafide,-,LA_0091,-
train,LA_T_7533966.flac,train/LA_T_7533966.flac,spoof,A06,LA_0088,-
train,LA_T_4648422.flac,train/LA_T_4648422.flac,spoof,A02,LA_0081,-
train,LA_T_9387015.flac,train/LA_T_9387015.flac,bonafide,-,LA_0098,-
train,LA_T_3382204.flac,train/LA_T_3382204.flac,spoof,A03,LA_0097,-
train,LA_T_5114581.flac,train/LA_T_5114581.flac,bonafide,-,LA_0094,-
train,LA_T_4855947.flac,train/LA_T_4855947.flac,spoof,A04,LA_0095,-
train,LA_T_7514330.flac,train/LA_T_7514330.flac,bonafide,-,LA_0087,-
train,LA_T_1459603.flac,train/LA_T_1459603.flac,spoof,A04,LA_0085,-
train,LA_T_5402935.flac,train/LA_T_5402935.flac,spoof,A04,LA_0080,-
train,LA_T_6290647.flac,train/LA_T_6290647.flac,bonafide,-,LA_0085,-
train,LA_T_4848180.flac,train/LA_T_4848180.flac,bonafide,-,LA_0084,-
train,LA_T_7478780.flac,train/LA_T_7478780.flac,bonafide,-,LA_0085,-
train,LA_T_6115632.flac,train/LA_T_6115632.flac,bonafide,-,LA_0096,-
train,LA_T_7467165.flac,train/LA_T_7467165.flac,bonafide,-,LA_0094,-
train,LA_T_8079945.flac,train/LA_T_8079945.flac,spoof,A06,LA_0084,-
train,LA_T_6258382.flac,train/LA_T_6258382.flac,spoof,A06,LA_0093,-
train,LA_T_2363469.flac,train/LA_T_2363469.flac,bonafide,-,LA_0094,-
train,LA_T_9161713.flac,train/LA_T_9161713.flac,spoof,A01,LA_0092,-
train,LA_T_3630592.flac,train/LA_T_3630592.flac,spoof,A04,LA_0092,-
train,LA_T_8006262.flac,train/LA_T_8006262.flac,spoof,A01,LA_0084,-
train,LA_T_8391975.flac,train/LA_T_8391975.flac,spoof,A05,LA_0081,-
train,LA_T_8898922.flac,train/LA_T_8898922.flac,bonafide,-,LA_0087,-
train,LA_T_8396215.flac,train/LA_T_8396215.flac,spoof,A05,LA_0089,-
train,LA_T_1332868.flac,train/LA_T_1332868.flac,bonafide,-,LA_0090,-
train,LA_T_8987811.flac,train/LA_T_8987811.flac,bonafide,-,LA_0083,-
train,LA_T_1611587.flac,train/LA_T_1611587.flac,bonafide,-,LA_0086,-
train,LA_T_2272655.flac,train/LA_T_2272655.flac,bonafide,-,LA_0089,-
train,LA_T_1864383.flac,train/LA_T_1864383.flac,bonafide,-,LA_0083,-
train,LA_T_9195565.flac,train/LA_T_9195565.flac,bonafide,-,LA_0098,-
train,LA_T_2866777.flac,train/LA_T_2866777.flac,bonafide,-,LA_0081,-
train,LA_T_7200118.flac,train/LA_T_7200118.flac,spoof,A05,LA_0087,-
train,LA_T_8705208.flac,train/LA_T_8705208.flac,bonafide,-,LA_0082,-
train,LA_T_9447578.flac,train/LA_T_9447578.flac,spoof,A04,LA_0088,-
train,LA_T_5036971.flac,train/LA_T_5036971.flac,spoof,A06,LA_0089,-
train,LA_T_2834141.flac,train/LA_T_2834141.flac,spoof,A04,LA_0087,-
train,LA_T_1478655.flac,train/LA_T_1478655.flac,bonafide,-,LA_0090,-
train,LA_T_6631167.flac,train/LA_T_6631167.flac,bonafide,-,LA_0080,-
train,LA_T_3576479.flac,train/LA_T_3576479.flac,spoof,A01,LA_0097,-
train,LA_T_6017121.flac,train/LA_T_6017121.flac,bonafide,-,LA_0089,-
train,LA_T_5765787.flac,train/LA_T_5765787.flac,bonafide,-,LA_0095,-
train,LA_T_4275693.flac,train/LA_T_4275693.flac,spoof,A03,LA_0097,-
train,LA_T_5049541.flac,train/LA_T_5049541.flac,bonafide,-,LA_0087,-
train,LA_T_7988057.flac,train/LA_T_7988057.flac,bonafide,-,LA_0086,-
train,LA_T_6058143.flac,train/LA_T_6058143.flac,bonafide,-,LA_0079,-
train,LA_T_2147294.flac,train/LA_T_2147294.flac,bonafide,-,LA_0091,-
train,LA_T_9029642.flac,train/LA_T_9029642.flac,spoof,A04,LA_0083,-
train,LA_T_4715226.flac,train/LA_T_4715226.flac,spoof,A04,LA_0084,-
train,LA_T_1305270.flac,train/LA_T_1305270.flac,bonafide,-,LA_0097,-
train,LA_T_7587842.flac,train/LA_T_7587842.flac,spoof,A04,LA_0081,-
train,LA_T_8363647.flac,train/LA_T_8363647.flac,bonafide,-,LA_0080,-
train,LA_T_6306026.flac,train/LA_T_6306026.flac,bonafide,-,LA_0080,-
train,LA_T_2569627.flac,train/LA_T_2569627.flac,spoof,A05,LA_0083,-
train,LA_T_5519166.flac,train/LA_T_5519166.flac,spoof,A02,LA_0094,-
train,LA_T_6269397.flac,train/LA_T_6269397.flac,spoof,A04,LA_0079,-
train,LA_T_2469219.flac,train/LA_T_2469219.flac,spoof,A03,LA_0092,-
train,LA_T_4631069.flac,train/LA_T_4631069.flac,bonafide,-,LA_0098,-
train,LA_T_8361331.flac,train/LA_T_8361331.flac,spoof,A01,LA_0089,-
train,LA_T_5596732.flac,train/LA_T_5596732.flac,bonafide,-,LA_0091,-
train,LA_T_4606897.flac,train/LA_T_4606897.flac,spoof,A01,LA_0085,-
train,LA_T_5159655.flac,train/LA_T_5159655.flac,spoof,A02,LA_0086,-
train,LA_T_6725220.flac,train/LA_T_6725220.flac,spoof,A02,LA_0081,-
train,LA_T_7931858.flac,train/LA_T_7931858.flac,spoof,A03,LA_0089,-
train,LA_T_7490764.flac,train/LA_T_7490764.flac,bonafide,-,LA_0089,-
train,LA_T_8693368.flac,train/LA_T_8693368.flac,spoof,A03,LA_0082,-
train,LA_T_2598851.flac,train/LA_T_2598851.flac,bonafide,-,LA_0092,-
train,LA_T_9560564.flac,train/LA_T_9560564.flac,spoof,A02,LA_0087,-
train,LA_T_4687523.flac,train/LA_T_4687523.flac,spoof,A01,LA_0081,-
train,LA_T_6082136.flac,train/LA_T_6082136.flac,bonafide,-,LA_0091,-
train,LA_T_4057432.flac,train/LA_T_4057432.flac,spoof,A01,LA_0087,-
train,LA_T_7607043.flac,train/LA_T_7607043.flac,spoof,A01,LA_0098,-
train,LA_T_9609293.flac,train/LA_T_9609293.flac,bonafide,-,LA_0097,-
train,LA_T_1745690.flac,train/LA_T_1745690.flac,bonafide,-,LA_0090,-
train,LA_T_4623430.flac,train/LA_T_4623430.flac,spoof,A02,LA_0081,-
train,LA_T_9389215.flac,train/LA_T_9389215.flac,bonafide,-,LA_0089,-
train,LA_T_2465871.flac,train/LA_T_2465871.flac,bonafide,-,LA_0087,-
train,LA_T_6305245.flac,train/LA_T_6305245.flac,spoof,A04,LA_0089,-
train,LA_T_7826829.flac,train/LA_T_7826829.flac,bonafide,-,LA_0085,-
train,LA_T_3397728.flac,train/LA_T_3397728.flac,bonafide,-,LA_0084,-
